"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","278","Consumer gets catalog from the provider. No constraints.","","Mon Nov 03 03:52:22 GMT 2025","passed","Mon Nov 03 03:52:22 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_fulfillsPolicy_shouldReturnOffer"
"","31","Policy is accepted Managed Legal Entity Region","","Mon Nov 03 03:52:22 GMT 2025","passed","Mon Nov 03 03:52:22 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","4024","transferData_privateBackend_withConsumerDataPlane()","","Mon Nov 03 03:55:20 GMT 2025","passed","Mon Nov 03 03:55:25 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp08to08","transferData_privateBackend_withConsumerDataPlane"
"","64","5.4.2.2 Verifier should accept a presentation response message that contains more credentials than requested","","Mon Nov 03 03:52:18 GMT 2025","passed","Mon Nov 03 03:52:18 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_04_02_02_presentationResponse_tooManyCredentials"
"","53","Provider gets 200 when asset selector has a valid criterion","","Mon Nov 03 03:54:09 GMT 2025","passed","Mon Nov 03 03:54:09 GMT 2025","","org.eclipse.tractusx.edc.tests.validators.EmptyAssetSelectorValidatorTest","org.eclipse.tractusx.edc.tests.validators.EmptyAssetSelectorValidatorTest","shouldPass_whenContractDefinitionHasCorrectAssetSelector"
"","4564","transferData_failing_withProxyOriginalResponse_withoutSourceResponseBody()","","Mon Nov 03 03:55:52 GMT 2025","passed","Mon Nov 03 03:55:56 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp08to08","transferData_failing_withProxyOriginalResponse_withoutSourceResponseBody"
"","2077","transferMultipleFile_success(Vault)","","Mon Nov 03 03:52:46 GMT 2025","passed","Mon Nov 03 03:52:48 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","transferMultipleFile_success"
"","8648","transferFile_withBucketCreation_success()","","Mon Nov 03 03:54:07 GMT 2025","passed","Mon Nov 03 03:54:15 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.S3ToS3EndToEndTest","org.eclipse.tractusx.edc.tests.transfer.S3ToS3EndToEndTest","transferFile_withBucketCreation_success"
"","151","triggerDataTransfer_shouldFail_whenDataFlowIsNotInStartedState()","","Mon Nov 03 03:53:10 GMT 2025","passed","Mon Nov 03 03:53:10 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","triggerDataTransfer_shouldFail_whenDataFlowIsNotInStartedState"
"","73","5.4.2.4 Verifier should reject an a presentation where a requested credential is missing","","Mon Nov 03 03:52:18 GMT 2025","passed","Mon Nov 03 03:52:19 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_04_02_04_presentationResponse_emptyCredentials"
"","31","Policy is not accepted Policy with unknown actions types","","Mon Nov 03 03:52:22 GMT 2025","passed","Mon Nov 03 03:52:22 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidPolicyDefinitions"
